CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|E19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|E63|V64|V65|V66|V67|V68|V69|E70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|E94|E95|E96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|FECHA_ENTREGA|
32DJN0001Y|1|MATUTINO|QUETZALCOATL|ZACATECAS|001|APOZOL|0046|BENITO JUÁREZ (EL RESCOLDO)|CALLE GENERAL ENRIQUE ESTRADA|28|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0034M|32FJZ0007V|32ADG0003E|0|I2017|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|A|A|A|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|24/10/2017 0:00:00|
32DJN0002X|1|MATUTINO|GABRIELA MISTRAL|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE GUERRERO COLONIA UNIDAD |7|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0023G|32FJZ0003Z|32ADG0025Q|0|I2017|0|1|0|0|0|0|1|0|6|0|0|0|0|0|0|0|0|0||6|4|2|0|6|4|2|0|6|4|0|0|0|4|0|4|4|0|0|4|0|0|4|4|0|0|4|4|0|0|4|0|4|4|4|0|0|0|0|0|1|0|0||0|0|1|0|0|0||0|1|0|0|1|0|1|1|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|B|B|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|31/10/2017 0:00:00|
32DJN0003W|1|MATUTINO|FRANCISCO BERUMEN VARELA|ZACATECAS|004|BENITO JUÁREZ|0002|LOS CAMPOS|CALLE LOPEZ RAYON|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0039H||32ADG0004D|0|I2017|0|1|0|0|0|0|1|0|8|2|0|0|0|0|0|0|0|0||10|7|1|0|8|7|1|0|8|7|0|0|7|0|0|7|7|0|0|7|7|0|0|7|0|7|0|7|0|7|0|0|7|7|7|0|0|1|0|0|0|0|0||1|0|0|0|0|0||1|0|1|0|1|0|1|1|0|0|1|0|0|0|0|1|0|0|0|1|0|1|1|d|d|d|0|1|0|1|0|1|1|0|1|0|1|1|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|3|0|1|0|0|0|0|0|0|0|0|0|0|03/11/2017 0:00:00|
32DJN0004V|1|MATUTINO|GALILEO GALILEI|ZACATECAS|007|CONCEPCIÓN DEL ORO|0001|CONCEPCIÓN DEL ORO|CALLE LOPEZ RAYON|13|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0002U|32FJZ0008U|32ADG0006B|0|I2017|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0||1|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|1|0|0|1|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|B|A|B|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|08/11/2017 0:00:00|
32DJN0005U|1|MATUTINO|ENRIQUE ESTRADA|ZACATECAS|001|APOZOL|0001|APOZOL|CALLE FIGUEROA|15|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0034M|32FJZ0007V|32ADG0003E|0|I2017|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0||1|0|1|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|A|A|A|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|08/12/2017 0:00:00|
32DJN0006T|1|MATUTINO|IGNACIO RAMIREZ|ZACATECAS|024|LORETO|0008|CRISÓSTOMOS|CALLE BENITO JUAREZ|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0045S|32FJZ0005X|32ADG0009Z|0|I2017|0|1|0|0|0|0|1|0|5|0|0|0|0|0|0|0|0|0||5|5|0|0|5|0|0|0|0|5|0|0|0|5|0|5|5|0|0|5|0|5|0|5|0|0|5|5|0|5|0|0|5|0|0|5|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|2|0|1|0|0|0|0|0|0|0|0|0|0|22/10/2017 0:00:00|
32DJN0007S|1|MATUTINO|ELODIA DE LA TORRE GONZALEZ|ZACATECAS|046|TEPETONGO|0001|TEPETONGO|CALLE MORELOS|46|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0022H|32FJZ0004Y|32ADG0008Z|0|I2017|0|1|0|0|0|0|1|0|3|0|0|0|0|0|0|0|0|0||3|0|2|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||1|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|B|B|B|0|0|0|0|0|0|1|0|1|0|1|1|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|3|0|1|0|0|0|0|0|0|0|0|0|0|30/10/2017 0:00:00|
32DJN0008R|1|MATUTINO|FEDERICO FROEBEL|ZACATECAS|024|LORETO|0001|LORETO|CALLE MEZQUITAL FRACC. SAN CARLOS|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0045S|32FJZ0005X|32ADG0009Z|0|I2017|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0||1|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|1|0|0|1|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|B|B|B|0|0|0|0|0|0|1|0|5|0|1|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|1|0|0|0|0|6|0|1|0|0|0|0|0|0|0|0|0|0|25/10/2017 0:00:00|
32DJN0009Q|1|MATUTINO|GUSTAVO RUIZ DE CHAVEZ|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE NINGUNO|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0027C|32FJZ0003Z|32ADG0025Q|0|I2017|0|1|0|0|0|0|1|0|13|0|0|0|0|0|0|0|0|0||13|12|0|1|13|12|0|1|13|12|0|0|7|5|0|12|12|0|0|12|12|0|0|12|0|0|12|12|0|0|0|12|12|12|12|0|0|1|0|0|0|0|0||0|1|0|0|0|0||0|1|0|0|1|0|0|1|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|d|b|d|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|26/10/2017 0:00:00|
32DJN0010F|1|MATUTINO|HANS CHRISTIAN ANDERSEN|ZACATECAS|012|GENARO CODINA|0001|GENARO CODINA|CALLE DEL SALTO|318|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0053A|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0||1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|B|B|B|0|0|0|0|0|0|1|0|2|0|1|0|0|0|0|3|0|0|0|2|0|0|0|2|0|0|0|0|0|0|0|0|2|0|1|2|0|0|0|5|0|1|0|0|0|0|0|0|0|0|0|0|23/10/2017 0:00:00|
