CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMNISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V63|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|FECHA_ENTREGA|
32KCI0031G|1|MATUTINO|CENTRO INFANTIL COMUNITARIO|32|ZACATECAS|32|ZACATECAS|009|CHALCHIHUITES|0017|EL DURAZNO|CALLE EL DURAZNO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|1|SERVICIOS|15|CENTRO INFANTIL COMUNITARIO (CIC)||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|4|5|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|7|9|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|2|1|1|0|4|1|0|3|2|0|6|1|2|4|3|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KCI0032F|1|MATUTINO|CENTRO INFANTIL COMUNITARIO|32|ZACATECAS|32|ZACATECAS|009|CHALCHIHUITES|0024|JESÚS MARÍA|CALLE JESUS MARIA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|1|SERVICIOS|15|CENTRO INFANTIL COMUNITARIO (CIC)||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|4|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|1|8|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|4|1|0|0|5|1|0|0|0|0|1|1|4|1|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0002G|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|009|CHALCHIHUITES|0002|AGUA DE LA VIEJA (GENERAL JESÚS GONZÁLEZ ORTEGA)|CALLE AGUA DE LA VIEJA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|2|5|7|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|9|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|3|5|1|0|10|0|2|2|3|0|7|1|5|7|4|0|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0003F|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|009|CHALCHIHUITES|0012|LA COLORADA|CALLE LA COLORADA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|7|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|1|1|0|3|0|1|0|2|0|3|0|2|1|3|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0010P|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0215|SAN JUAN DE LOS HORNILLOS|CALLE SAN JUAN DE LOS HORNILLOS|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|02/02/2018 0:00:00|
32KJN0013M|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0124|LA MANGA|CALLE LA MANGA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|6|12|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|3|0|2|0|6|0|3|2|1|0|6|1|6|2|3|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0021V|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|006|CAÑITAS DE FELIPE PESCADOR|0008|EL SAUCILLO|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|1|0|0|2|0|0|4|0|0|4|0|1|5|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0022U|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0474|EL TIGRE (LOS NOPALES)|CALLE LOS NOPALES (EL TIGRE)|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|4|3|7|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|6|11|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|2|3|0|5|0|1|2|2|0|5|0|1|4|5|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0030C|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0081|EL CARRIZALILLO (CARRIZALILLO DE ÁBREGO)|CALLE EL CARRIZALILLO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|6|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|2|0|0|3|0|2|1|0|0|3|0|3|3|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0031B|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0214|SAN JUAN DE LA CASIMIRA|CALLE SAN JUAN DE LA CASIMIRA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|8|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|2|3|0|5|0|1|0|1|0|2|0|1|2|4|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
