CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|FECHA_ENTREGA|
32FCJ0001Q|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION INICIAL|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|ESTATAL||||0||0||||32ADG0021U|0|I2017|5|9|14|1|0|0|1|1|0|0|0|0|1|1|0|0|0|0|2|2|1|0|0|0|1|0|0|0|1|0|1|1|1|1|1|1|0|1|1|1|28/10/2017 0:00:00|
32FCJ0002P|4|DISCONTINUO|SUPERVISION DE EDUCACION INICIAL|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|CALZADA GARCIA SALINAS|14|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0019F|0|I2017|5|9|5|2|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|0|0|1|1|1|17/11/2017 0:00:00|
32FIS0001B|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0010O|0|I2017|9|18|9|1|0|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|0|0|1|0|0|0|1|0|0|1|1|1|1|1|1|0|0|1|1|1|30/10/2017 0:00:00|
32FIS0002A|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|BOULEVARD HOMBRES ILUSTRES|313|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||||0|I2017|10|12|9|0|20|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|1|0|1|1|1|1|1|1|0|1|1|1|31/10/2017 0:00:00|
32FIS0003Z|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|PRIVADA EUCALIPTOS EX-HDA.DE BERNARDEZ|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0019F|0|I2017|8|21|8|0|45|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|0|0|1|1|1|22/11/2017 0:00:00|
32FIS0007W|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE BLVD HOMBRES ILUSTRES|611|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23/11/2017 0:00:00|
32FIS0008V|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0008Z|0|I2017|5|15|5|15|0|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|20/10/2017 0:00:00|
32FIS0009U|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION SECUNDARIA GENERAL|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|PROLONGACIÓN FRESNILLO|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23/11/2017 0:00:00|
32FIS0010J|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|019|JALPA|0001|JALPA|PROLONGACIÓN ITURBIDE|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0003E|0|I2017|3|10|3|0|45|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|1|0|0|0|0|1|1|1|1|1|1|0|0|1|1|1|30/10/2017 0:00:00|
32FIS0011I|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION  SECUNDARIA GENERAL|ZACATECAS|039|RÍO GRANDE|0001|RÍO GRANDE|PROLONGACIÓN LIBERTAD FRACCIONAMIENTO LOS ALAMOS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0||||32ADG0005C|0|I2017|6|10|6|1|0|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|0|1|1|1|16/11/2017 0:00:00|
