CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V63|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|V152|V153|V154|V155|V156|V157|V158|V159|V160|V161|V162|V163|V164|V165|V166|E167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|E178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|E189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|FECHA_ENTREGA|
32DBT0002Z|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 130|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|PROLONGACIÓN DE LA PEDRO CORONEL|0|PÚBLICO|FEDERAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|10|137|0|246|65|133|61|46|47|6|604|0|237|64|126|60|46|46|6|585|0|228|58|109|60|45|43|6|549|0|474|113|352|253|162|39|5|1398|0|463|110|351|249|162|39|5|1379|0|435|104|332|237|150|38|5|1301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|2|0|0|2|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|1|2|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|2|0|0|2|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|2|2|1|7|0|0|10|6|28|0|0|0|8|8|20/10/2017 0:00:00|
32DBT0062N|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 62|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE PASEO DEL MINERAL TRANSITO PESADO|0|PÚBLICO|FEDERAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|10|110|0|596|89|114|74|38|18|15|944|0|590|87|113|73|38|18|14|933|0|454|72|88|61|34|16|10|735|0|108|34|75|80|33|21|2|353|0|105|33|74|80|33|21|2|348|0|81|28|61|49|30|19|2|270|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|2|0|0|0|1|0|0|0|0|0|0|3|0|0|1|0|2|2|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|1|0|0|3|4|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|3|1|6|3|0|0|8|8|29|5|0|4|0|9|11/10/2017 0:00:00|
32DBT0081B|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 81|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE UNIDAD UNIVERSITARIA II|0|PÚBLICO|FEDERAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|12|161|0|206|100|125|89|40|41|8|609|0|190|89|117|87|37|39|7|566|0|148|76|109|77|37|34|6|487|0|236|276|368|279|221|61|7|1448|0|225|268|355|268|210|56|7|1389|0|198|246|338|254|197|52|7|1292|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|3|1|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|2|2|6|1|0|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|carreracomercial|0|0|0|0|0|1|0|1|0|0|comisionados|0|0|0|0|1|2|0|2|0|0||0|0|0|0|0|0|0|0|0|0|0|0|2|2|11|6|10|11|0|0|42|0|0|0|17|17|16/10/2017 0:00:00|
32DBT0163L|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 163|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|PROLONGACIÓN VENUSTIANO CARRANZA|163|PÚBLICO|FEDERAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|8|64|0|184|74|101|50|40|4|5|458|0|182|72|95|49|34|3|5|440|0|155|62|80|45|30|2|3|377|0|517|207|286|159|134|49|4|1356|0|510|203|284|156|132|48|4|1337|0|457|181|253|152|129|47|4|1223|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|2|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|1|0|0|2|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|2|1|3|1|0|0|10|7|24|0|0|2|2|4|19/10/2017 0:00:00|
32EBT0002Y|4|DISCONTINUO|ACADEMIA OFICIAL MORELOS|ZACATECAS|023|JUCHIPILA|0001|JUCHIPILA|CALLE CONSTITUCION|2|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16/10/2017 0:00:00|
32EBT0004W|4|DISCONTINUO|INSTITUTO DE FORMACION PROFESIONAL DE LA PROCURADURIA GENERAL DE JUSTICIA|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|PROLONGACIÓN DE LA PEDRO CORONEL|0|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|4|9|0|1|54|85|64|16|1|0|221|0|1|54|85|64|16|1|0|221|0|1|54|85|64|16|1|0|221|0|0|4|12|9|4|0|0|29|0|0|4|12|9|4|0|0|29|0|0|4|12|9|4|0|0|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|3|0|0|0|0|3|0|0|0|2|0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|7|3|0|0|7|6|0|0|0|0|2|4|0|0|2|2|0|0|0|0|0|1|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|2|1|12|8|0|0|17|17|57|20|0|0|0|20|06/11/2017 0:00:00|
32EBT0009R|2|VESPERTINO|CENTRO DE CAPACITACION REAL DEL FRESNO|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE MANUEL M. PONCE|500|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||3|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19/10/2017 0:00:00|
32EBT0017Z|2|VESPERTINO|MARIANITA ELIAS DE RODRIGUEZ|ZACATECAS|034|NOCHISTLÁN DE MEJÍA|0187|TLACHICHILA|CALLE JUAREZ|39|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16/10/2017 0:00:00|
32EBT0034Q|1|MATUTINO|INSTITUTO MUNICIPAL DE COMPUTACION DE TLALTENANGO|ZACATECAS|048|TLALTENANGO DE SÁNCHEZ ROMÁN|0001|TLALTENANGO DE SÁNCHEZ ROMÁN|PROLONGACIÓN ATOLINGA (BARRIO EL OBISPO)|0|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||7|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16/10/2017 0:00:00|
32EBT0035P|4|DISCONTINUO|"ESCUELA DE MUSICA MUNICIPAL ""CANDELARIO HUIZAR"""|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|AVENIDA GONZALEZ ORTEGA|53|PÚBLICO|ESTATAL|CAPACITACIÓN|FORMACIÓN PARA EL TRABAJO|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||0|I2017|1|8|10|8|12|5|10|5|2|7|59|3|7|11|2|9|4|1|4|41|3|5|11|2|7|2|0|2|32|8|17|5|9|11|7|4|5|66|4|16|4|7|10|6|4|4|55|4|13|4|7|7|0|1|0|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|7|2|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|4|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|1|0|14|3|0|0|1|1|20|6|1|5|5|17|24/10/2017 0:00:00|
